City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,celestun,20.8667,-90.4,302.59,57,3,4.35,MX,1739127431
84,kingston,17.997,-76.7936,304.91,55,20,4.12,JM,1739127432
85,mangalam,9.7667,78.6667,296.67,80,0,3.33,IN,1739127433
86,kangiwa,12.5521,3.8187,302.36,14,96,4.22,NG,1739127435
87,walvis bay,-22.9575,14.5053,292.24,75,61,4.15,NA,1739127436
88,nuuk,64.1835,-51.7216,266.49,93,100,6.17,GL,1739127438
89,pacific grove,36.6177,-121.9166,285.61,70,0,4.47,US,1739127439
90,myitkyina,25.3833,97.4,289.5,67,18,0.58,MM,1739127440
91,la mana,-0.9333,-79.2167,297.6,96,100,0.95,EC,1739127442
92,ilulissat,69.2167,-51.1,255.72,97,100,3.17,GL,1739127444
93,sinop,41.7711,34.8709,271.66,98,99,1.27,TR,1739127445
94,saint-joseph,-21.3667,55.6167,299.36,85,38,4.97,RE,1739127446
95,bilibino,68.0546,166.4372,248.74,93,100,1.79,RU,1739127447
96,portland,45.5234,-122.6762,279.16,92,75,1.79,US,1739127250
97,ulladulla,-35.35,150.4667,292.91,92,84,4.75,AU,1739127450
98,east london,-33.0153,27.9116,294.65,76,100,3.2,ZA,1739127243
99,tommot,58.9564,126.2925,234.48,98,63,0.59,RU,1739127452
100,tolanaro,-25.0319,46.9987,300.19,78,20,4.12,MG,1739127453
101,igra,57.5558,53.0547,259.02,100,100,0.93,RU,1739127454
102,haiku-pauwela,20.9219,-156.3051,296.6,73,24,5.36,US,1739127455
103,salemi,37.8231,12.8056,280.98,92,63,1.4,IT,1739127456
104,stephenville,32.2207,-98.2023,280.22,68,100,5.66,US,1739127458
105,minas de marcona,-15.2119,-75.1103,291.64,86,99,2.19,PE,1739127459
106,puerto leguizamo,-0.1934,-74.7819,304.57,53,89,1.18,CO,1739127460
107,berdigestyakh,62.0989,126.6992,234.79,100,86,1.59,RU,1739127461
108,mount isa,-20.7333,139.5,297.02,94,20,1.54,AU,1739127462
109,pandan,14.0453,124.1694,298.13,88,100,8.3,PH,1739127463
110,geraldton,-28.7667,114.6,296.38,60,100,3.6,AU,1739127464
111,the pas,53.8251,-101.2541,255.16,60,100,4.12,CA,1739127465
112,marsa alam,25.0757,34.8918,290.54,58,99,4.36,EG,1739127467
